name,image,artist,rating,youtube_link
Shape of you,Image/Shape_of_you.jpg,Ed Sheeran,5,https://youtu.be/JGwWNGJdvx8
Memories,Image/memories.jpg,Maroon 5,5,https://youtu.be/SlPhMPnQ58k
Too Sweet,Image/TooSweet.jpg,Hozier,5, https://youtu.be/aezstCBHOPQ
Head in the clouds,Image/HeadInTheClouds.jpg,Hayd,4,https://youtu.be/-uFQzcY7YHc?list=RDhhb7zyll-eg
Les Feuilles mortes,Image/LesFeuillesMortes.jpg,Yves Montand,5,https://youtu.be/Xo1C6E7jbPw
Fly me to the moon,Image/Flymetothemoon.jpg,Frank Sinatra,5,https://youtu.be/ZEcqHA7dbwM
